[2023-09-02T13:23:37.346+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: website_crawler.crawl_task manual__2023-09-02T13:23:34.786418+00:00 [queued]>
[2023-09-02T13:23:37.400+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: website_crawler.crawl_task manual__2023-09-02T13:23:34.786418+00:00 [queued]>
[2023-09-02T13:23:37.404+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 4
[2023-09-02T13:23:37.473+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): crawl_task> on 2023-09-02 13:23:34.786418+00:00
[2023-09-02T13:23:37.554+0000] {standard_task_runner.py:57} INFO - Started process 56 to run task
[2023-09-02T13:23:37.614+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'website_crawler', 'crawl_task', 'manual__2023-09-02T13:23:34.786418+00:00', '--job-id', '262', '--raw', '--subdir', 'DAGS_FOLDER/crawl_data_using_BeautifulSoup.py', '--cfg-path', '/tmp/tmpco56wout']
[2023-09-02T13:23:37.642+0000] {standard_task_runner.py:85} INFO - Job 262: Subtask crawl_task
[2023-09-02T13:23:38.288+0000] {task_command.py:415} INFO - Running <TaskInstance: website_crawler.crawl_task manual__2023-09-02T13:23:34.786418+00:00 [running]> on host 9b7e267dee3b
[2023-09-02T13:23:38.966+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='website_crawler' AIRFLOW_CTX_TASK_ID='crawl_task' AIRFLOW_CTX_EXECUTION_DATE='2023-09-02T13:23:34.786418+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-09-02T13:23:34.786418+00:00'
[2023-09-02T13:23:39.754+0000] {crawl_data_using_BeautifulSoup.py:89} INFO - test abc
[2023-09-02T13:23:40.475+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:41.194+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:41.865+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:45.626+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:46.796+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:48.631+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:49.194+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:49.958+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:50.556+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:51.138+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:51.929+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:52.647+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:54.369+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:55.254+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:55.915+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:56.427+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:56.901+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:57.362+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:58.766+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:59.227+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:23:59.778+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:00.331+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:00.790+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:01.283+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:02.195+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:03.450+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:04.089+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:04.833+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:05.379+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:05.939+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:06.437+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:06.901+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:07.754+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:08.588+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:09.233+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:09.702+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:10.205+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:10.687+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:11.182+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:11.787+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:12.303+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:12.804+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:13.668+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:14.164+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:14.600+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:15.268+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:15.942+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:16.555+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:17.022+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:17.985+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:18.469+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:18.940+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:19.436+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:20.148+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:20.615+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:21.135+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:21.591+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:22.033+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:22.979+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:28.753+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:29.435+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
[2023-09-02T13:24:33.936+0000] {crawl_data_using_BeautifulSoup.py:99} INFO - test bcd
